Wall time,Step,Value
1732691430.405295,7,0.1550370156764984
1732691430.9981427,8,0.037000223994255066
1732691431.5145867,9,0.02653345838189125
1732691432.3812225,10,0.017755936831235886
1732691433.2488518,11,0.18465737998485565
1732691434.0020146,12,0.11850561946630478
1732691434.7690654,13,0.10127708315849304
1732691435.301366,14,0.055730536580085754
1732691436.0333622,15,0.06989841163158417
1732691437.0021822,16,0.05625729635357857
1732691437.6414587,17,0.05340398848056793
1732691438.2148745,18,0.04496173560619354
1732691438.6985605,19,0.05455488711595535
1732691439.1913748,20,0.058156248182058334
1732691439.8231695,21,0.2531029284000397
1732691440.65754,22,0.1892218291759491
1732691441.5842204,23,0.13427193462848663
1732691442.121131,24,0.1845894753932953
1732691442.6237714,25,0.17190860211849213
1732691443.4847436,26,0.1697273850440979
1732691444.2452886,27,0.16879154741764069
1732691444.7726324,28,0.1544392853975296
1732691445.4227054,29,0.10996385663747787
1732691446.1287596,30,0.1498211920261383
1732691447.1120071,31,0.27661868929862976
1732691447.8691356,32,0.20320425927639008
1732691448.6095157,33,0.17266163229942322
1732691449.2367723,34,0.3008016049861908
1732691450.042231,35,0.17954064905643463
1732691451.04451,36,0.16039304435253143
1732691451.8826482,37,0.13893215358257294
1732691452.6866302,38,0.1470382809638977
1732691453.8654141,39,0.15672807395458221
1732691455.1684973,40,0.10584760457277298
1732691455.7301586,41,0.34976640343666077
1732691456.6308374,42,0.2478746771812439
1732691457.9504273,43,0.2013828009366989
1732691459.1268957,44,0.29131442308425903
1732691460.6101642,45,0.20737403631210327
1732691462.2678595,46,0.21276789903640747
1732691463.5731733,47,0.26045694947242737
1732691465.1794703,48,0.2086292803287506
1732691466.7173264,49,0.21656835079193115
1732691467.7876108,50,0.23267914354801178
1732691469.1763177,51,0.3144492506980896
1732691470.6669497,52,0.22814533114433289
1732691472.5130527,53,0.20095618069171906
1732691473.9954007,54,0.2667248547077179
1732691475.6071103,55,0.26020264625549316
1732691477.0521374,56,0.20949481427669525
1732691479.8183215,57,0.10630596429109573
