,Actions,Rewards
0,1,1.0
1,0,1.0
2,0,1.0
3,0,1.0
4,0,1.0
5,1,1.0
6,1,1.0
7,0,1.0
8,1,1.0
9,0,1.0
10,1,1.0
11,1,1.0
12,1,1.0
13,0,1.0
14,1,1.0
15,0,1.0
16,1,1.0
17,0,1.0
18,1,1.0
19,1,1.0
20,1,1.0
21,1,1.0
22,0,1.0
23,1,1.0
24,0,1.0
25,1,1.0
26,0,1.0
27,0,1.0
28,0,1.0
29,0,1.0
30,0,1.0
31,0,1.0
32,1,1.0
33,1,1.0
34,1,1.0
35,0,1.0
36,1,1.0
37,1,1.0
38,0,1.0
39,1,1.0
40,0,1.0
41,1,1.0
42,1,1.0
43,0,1.0
44,1,1.0
45,0,1.0
46,1,1.0
47,0,1.0
48,1,1.0
49,0,1.0
50,1,1.0
51,1,1.0
52,0,1.0
53,1,1.0
54,1,1.0
55,0,1.0
56,1,1.0
57,0,1.0
58,1,1.0
59,0,1.0
60,0,1.0
61,1,1.0
62,1,1.0
63,1,1.0
64,0,1.0
65,1,1.0
66,1,1.0
67,1,1.0
68,0,1.0
69,0,1.0
70,0,1.0
71,1,1.0
72,1,1.0
73,0,1.0
74,1,1.0
75,1,1.0
76,0,1.0
77,1,1.0
78,0,1.0
79,1,1.0
80,0,1.0
81,1,1.0
82,1,1.0
83,0,1.0
84,1,1.0
85,0,1.0
86,1,1.0
87,0,1.0
88,1,1.0
89,0,1.0
90,1,1.0
91,0,1.0
92,1,1.0
93,0,1.0
94,0,1.0
95,1,1.0
96,0,1.0
97,1,1.0
98,0,1.0
99,1,1.0
100,1,1.0
101,0,1.0
102,1,1.0
103,1,1.0
104,0,1.0
105,1,1.0
106,1,1.0
107,0,1.0
108,0,1.0
109,1,1.0
110,1,1.0
111,1,1.0
112,1,1.0
113,1,1.0
114,0,1.0
115,1,1.0
116,0,1.0
117,0,1.0
118,1,1.0
119,0,1.0
120,0,1.0
121,0,1.0
122,0,1.0
123,0,1.0
124,1,1.0
125,1,1.0
126,1,1.0
127,0,1.0
128,0,1.0
129,1,1.0
